year,zone_id,zone_type,name,image_count,valid_pixel_count,total_pixel_count,valid_coverage_percent
2017,agriculture_01,agricultural,Irrigated agricultural land,16,3262.3882352941155,3262.3882352941155,100.0
2017,aoi_leh_immediate,aoi,Leh town and immediate surroundings,16,38054.058823529376,38054.058823529376,100.0
2017,natural_01,natural,Natural mountain,16,4310.784313725495,4310.784313725495,100.0
2017,urban_01,urban,Leh urban settlement,16,16741.58823529411,16741.58823529411,100.0
2018,agriculture_01,agricultural,Irrigated agricultural land,10,3262.3882352941155,3262.3882352941155,100.0
2018,aoi_leh_immediate,aoi,Leh town and immediate surroundings,10,38054.058823529376,38054.058823529376,100.0
2018,natural_01,natural,Natural mountain,10,4310.784313725495,4310.784313725495,100.0
2018,urban_01,urban,Leh urban settlement,10,16741.58823529411,16741.58823529411,100.0
2019,agriculture_01,agricultural,Irrigated agricultural land,15,3262.3882352941155,3262.3882352941155,100.0
2019,aoi_leh_immediate,aoi,Leh town and immediate surroundings,15,38054.058823529376,38054.058823529376,100.0
2019,natural_01,natural,Natural mountain,15,4310.784313725495,4310.784313725495,100.0
2019,urban_01,urban,Leh urban settlement,15,16741.58823529411,16741.58823529411,100.0
2020,agriculture_01,agricultural,Irrigated agricultural land,13,3262.3882352941155,3262.3882352941155,100.0
2020,aoi_leh_immediate,aoi,Leh town and immediate surroundings,13,38054.058823529376,38054.058823529376,100.0
2020,natural_01,natural,Natural mountain,13,4310.784313725495,4310.784313725495,100.0
2020,urban_01,urban,Leh urban settlement,13,16741.58823529411,16741.58823529411,100.0
2021,agriculture_01,agricultural,Irrigated agricultural land,12,3262.3882352941155,3262.3882352941155,100.0
2021,aoi_leh_immediate,aoi,Leh town and immediate surroundings,12,38054.058823529376,38054.058823529376,100.0
2021,natural_01,natural,Natural mountain,12,4310.784313725495,4310.784313725495,100.0
2021,urban_01,urban,Leh urban settlement,12,16741.58823529411,16741.58823529411,100.0
2022,agriculture_01,agricultural,Irrigated agricultural land,30,3262.3882352941155,3262.3882352941155,100.0
2022,aoi_leh_immediate,aoi,Leh town and immediate surroundings,30,38054.058823529376,38054.058823529376,100.0
2022,natural_01,natural,Natural mountain,30,4310.784313725495,4310.784313725495,100.0
